node,spring_x,spring_y,bfs_x,bfs_y,arf_x,arf_y,spectral_x,spectral_y,force atlas_x,force atlas_y,kamada kawai_x,kamada kawai_y,random_x,random_y
cube152_cluster0,0.7833618130501664,-0.5721789168014005,0.7667493796526055,0.05521091811414392,7.97211217880249,0.5201458930969238,0.7686026355745814,-0.014066254569769981,78.56678009033203,-122.53125,0.9999999999999999,0.5214307628155013,0.9670298099517822,0.5472322702407837
cube188_cluster0,1.0,-0.47207028678066676,0.8771712158808933,0.0,7.747344017028809,2.5256285667419434,1.0,-0.28999401046782075,92.12812805175781,-105.74703216552734,0.7767722723315341,0.8503985468343569,0.972684383392334,0.7148159742355347
cube199_cluster0,0.878982923989071,-0.458239081476986,0.7667493796526055,-0.05521091811414392,4.404956340789795,-4.9087371826171875,0.9081696827539694,-0.1942912414733974,86.91935729980469,-110.96280670166016,0.680108394198578,0.6933370991305273,0.6977288126945496,0.21608950197696686
cube210_cluster0,0.00504851349156069,-0.6093895509126995,0.6563275434243175,-0.33126550868486354,5.320796966552734,-5.1095123291015625,-0.0509632749824182,0.9907480776346621,79.70867919921875,-44.697635650634766,0.2359678308541124,-0.3797560223319125,0.9762744307518005,0.006230255123227835
cube211_cluster0,0.008858409103550104,-0.5570178300841037,0.6563275434243175,-0.22084367245657568,-4.992249965667725,-0.5967118740081787,-0.05014324798565325,0.9278628458402248,76.27314758300781,-47.272117614746094,0.24043047152124344,-0.28522319073422836,0.25298234820365906,0.43479153513908386
cube212_cluster0,-0.028265549198382672,-0.5598942182786762,0.6563275434243175,-0.11042183622828784,5.105825424194336,-3.638521909713745,-0.05020824956079462,0.9282037909090702,74.26380920410156,-45.76015853881836,0.31955028419510323,-0.253608496679009,0.7793829441070557,0.19768507778644562
cube213_cluster0,0.6148038884608265,-0.43539429904877097,0.6563275434243175,0.0,4.746747016906738,6.607496738433838,0.6582745887105528,0.009428068974613466,66.84972381591797,-122.44881439208984,0.45198965812299874,0.48700287722323815,0.8629932403564453,0.9834007024765015
cube214_cluster0,0.7133675501799345,-0.44791869322581157,0.6563275434243175,0.11042183622828784,-4.341728687286377,2.1428842544555664,0.7329418554274554,-0.034469183358568224,74.32476806640625,-119.95592498779297,0.5503217704841755,0.5585867963541958,0.16384224593639374,0.5973339676856995
cube225_cluster0,0.0018013006283003892,-0.3056432428211654,0.5459057071960297,-0.2760545905707196,-6.434821605682373,-1.2712304592132568,-0.03052558020472665,0.22241328707780933,19.98381996154785,-76.74816131591797,0.1335917108523828,-0.05180525680425295,0.008986097760498524,0.3865712881088257
cube226_cluster0,0.05343107838217142,-0.3027961894123484,0.5459057071960297,-0.16563275434243177,-4.898486137390137,5.357085704803467,-0.023030129050487905,0.22147665774825906,21.820865631103516,-78.81813049316406,0.10414768308153426,-0.1000346698808606,0.04416005685925484,0.9566529393196106
cube227_cluster0,0.004086826081365904,-0.4775903113102626,0.5459057071960297,-0.05521091811414392,-0.33853879570961,7.5595831871032715,-0.04866331950617878,0.8356579237706414,68.3541488647461,-50.784278869628906,0.2010831832995976,-0.23832980680862276,0.43614664673805237,0.9489772915840149
cube228_cluster0,0.005518592416526311,-0.4973651067930514,0.5459057071960297,0.05521091811414392,5.393988132476807,5.755303382873535,-0.049126628934128204,0.8447929161433746,68.28902435302734,-48.2951774597168,0.2397777909507434,-0.20467461523804253,0.7863059639930725,0.8662893176078796
cube228_cluster1,0.4544495197333972,-0.3858520527022117,0.5459057071960297,0.16563275434243177,-2.5037832260131836,-6.047696590423584,0.48870903760350687,0.06364411380647342,50.79420852661133,-117.48352813720703,0.2990539986046811,0.38840547533571484,0.173165425658226,0.07494858652353287
