node,spring_x,spring_y,bfs_x,bfs_y,arf_x,arf_y,spectral_x,spectral_y,force atlas_x,force atlas_y,kamada kawai_x,kamada kawai_y,random_x,random_y
cube147_cluster0,-0.16578153709049187,0.5136041727248998,0.45302773061686474,0.03678551216751556,13.229875564575195,0.8833444714546204,-0.46139841793237896,0.34569799625098274,-144.88470458984375,206.6670379638672,0.43306660774319056,0.0352185561754126,0.9670298099517822,0.5472322702407837
cube243_cluster0,0.5125296893354642,0.1776064051644857,0.5449915110356537,0.01839275608375778,12.675482749938965,3.9034676551818848,-0.7297871934924961,-0.08758587740881019,88.66151428222656,125.98944854736328,0.6264027570335242,0.11047462019990803,0.972684383392334,0.7148159742355347
cube244_cluster0,0.5950085294750477,0.14683121845820182,0.5633842671194115,0.03678551216751556,5.541292190551758,-8.334837913513184,-0.7364106140795503,-0.09064891145467599,95.3658218383789,123.75145721435547,0.6756671820253566,0.07569389491311154,0.6977288126945496,0.21608950197696686
cube279_cluster0,0.7728191003904068,0.3307302216611533,0.600169779286927,-0.027589134125636672,7.639325141906738,-9.914130210876465,-0.8720774176394088,-0.42728721297191735,169.52313232421875,-11.021409034729004,0.735266616143277,0.30336893618041594,0.9762744307518005,0.006230255123227835
cube280_cluster0,0.8532444887646288,0.32512272442865514,0.6185625353706848,-0.03678551216751556,-7.809332370758057,-0.7737910151481628,-0.8859205988722414,-0.4551122125508845,174.7015838623047,-30.5482120513916,0.7879199273284588,0.3070811437327499,0.25298234820365906,0.43479153513908386
cube289_cluster0,0.9181958519954565,0.3017439597295723,0.6185625353706848,-0.01839275608375778,7.382893085479736,-7.542452812194824,-0.9035457149829038,-0.4924523759311305,182.1466064453125,-54.81089401245117,0.9212074519291301,0.2345161810977346,0.7793829441070557,0.19768507778644562
cube302_cluster0,1.0,0.28663007014773845,0.6369552914544426,-0.027589134125636672,5.696722984313965,11.94580078125,-0.9159024223220102,-0.5187450307139464,184.91116333007812,-67.2080307006836,1.0,0.20353826743027478,0.8629932403564453,0.9834007024765015
cube349_cluster0,0.029732945712838067,0.08204250604431026,0.5082059988681381,0.00919637804187889,-10.770910263061523,4.3667826652526855,-0.6377950130879256,0.09528889503790627,-6.372915744781494,155.30938720703125,0.5508988896536117,0.06297486658396699,0.16384224593639374,0.5973339676856995
cube350_cluster0,-0.048042061254645635,-0.030599132393273665,0.5265987549518959,0.01839275608375778,-11.930500030517578,-0.6010090708732605,-0.6421265717388641,0.09776654975237312,-6.448757171630859,151.0330810546875,0.58528927764808,0.036734869433958525,0.008986097760498524,0.3865712881088257
cube370_cluster0,0.7481635288808864,0.37761001565490293,0.5817770232031693,0.01839275608375778,-8.960393905639648,8.747645378112793,-0.8129996478785537,-0.25862489047289267,156.22373962402344,107.09565734863281,0.7693479440427782,0.15341044238993548,0.04416005685925484,0.9566529393196106
cube371_cluster0,0.7509478446966625,0.3580046648311775,0.5817770232031693,0.03678551216751556,-2.1776199340820312,12.772488594055176,-0.8129996478785516,-0.2586248904728949,157.34732055664062,105.75270080566406,0.7653807384409238,0.12441811176654743,0.43614664673805237,0.9489772915840149
cube381_cluster0,0.6586002792375157,0.3293702384413063,0.5633842671194115,0.01839275608375778,6.739961624145508,10.852068901062012,-0.8020312319525309,-0.245516456539446,145.55809020996094,101.28732299804688,0.6878779027546531,0.17861886262499974,0.7863059639930725,0.8662893176078796
cube390_cluster0,-0.3564583462987153,0.5360231574588119,0.4162422184493492,0.01839275608375778,-7.4450836181640625,-9.11078929901123,-0.34816508078064023,0.44567971443620713,-143.2294921875,239.01242065429688,0.3970821966301206,-0.033879430457573446,0.173165425658226,0.07494858652353287
cube393_cluster0,0.5831057514512388,0.5170865135902185,0.600169779286927,-0.00919637804187889,0.6639962196350098,-10.187471389770508,-0.9057896530433551,-0.5550216446067581,184.00274658203125,3.764055013656616,0.6147244598019705,0.4489430935659061,0.6007426977157593,0.16797217726707458
cube402_cluster0,0.6460539416339584,0.3675698125621695,0.5817770232031693,-0.03678551216751556,6.70697546005249,-2.944303274154663,-0.8399011696994668,-0.3633024229394004,156.30987548828125,36.28374481201172,0.5503736499220241,0.33389790536695974,0.733380138874054,0.4084438681602478
cube403_cluster0,0.6018783348227333,0.41709234469083534,0.5817770232031693,-0.01839275608375778,1.1531312465667725,12.690301895141602,-0.8475423510379577,-0.3881931894684372,161.07623291015625,34.20058059692383,0.5404133320036097,0.3580988675411966,0.5279088020324707,0.9375715851783752
cube404_cluster0,0.5864089947830022,0.5432635164551094,0.5817770232031693,0.0,-0.3799387812614441,-10.619412422180176,-0.9099741605204676,-0.5701420946158592,190.926025390625,4.89659309387207,0.5762057447928856,0.4388890444216299,0.521696150302887,0.10819338262081146
