node,spring_x,spring_y,bfs_x,bfs_y,arf_x,arf_y,spectral_x,spectral_y,force atlas_x,force atlas_y,kamada kawai_x,kamada kawai_y,random_x,random_y
cube0_cluster0,1.0,0.5200504900501017,0.830558482613277,0.010642781875658588,8.248382568359375,0.4783557951450348,-0.8482659814389784,1.0,68.94072723388672,47.132442474365234,1.0,0.3335269490847819,0.9670298099517822,0.5472322702407837
cube1_cluster0,0.923447702014843,0.4923530344555873,0.80927291886196,0.010642781875658588,7.972031593322754,2.4561541080474854,-0.8449933587413087,0.9831912839797324,66.48298645019531,48.033470153808594,0.9593947444561833,0.3360715143118841,0.972684383392334,0.7148159742355347
cube3_cluster0,0.98746793884429,0.3454510075673782,0.830558482613277,-0.010642781875658588,3.6765668392181396,-5.4525580406188965,-0.8482531078545994,0.9996918284296169,64.44406127929688,41.75767135620117,0.772911992113381,0.5378658775420989,0.6977288126945496,0.21608950197696686
cube4_cluster0,0.8846542807267368,0.38185569898965843,0.80927291886196,-0.010642781875658588,5.215559959411621,-5.578695297241211,-0.8417079617922307,0.9660847563258755,61.653419494628906,45.39084243774414,0.7288774256037536,0.4634226049127896,0.9762744307518005,0.006230255123227835
cube5_cluster0,0.7899520347530329,0.4492395657451043,0.7879873551106428,0.0,-3.670975923538208,-0.729034423828125,-0.8319281196039847,0.9165214857672437,57.23298263549805,49.42857360839844,0.6909184625331946,0.41131549771533993,0.25298234820365906,0.43479153513908386
cube6_cluster0,0.688121026260961,0.4935457035483928,0.7667017913593256,0.0,4.269472599029541,-4.304411888122559,-0.8179891721645833,0.8464220896020277,48.793636322021484,51.402801513671875,0.6590673422896136,0.3952366496302099,0.7793829441070557,0.19768507778644562
cube7_cluster0,0.58836205371492,0.5209423142831142,0.7454162276080084,0.0,4.654644966125488,6.992210388183594,-0.8034257324152277,0.7744146665543743,40.943668365478516,52.23224639892578,0.63012523070426,0.3843189486428407,0.8629932403564453,0.9834007024765015
cube8_cluster0,0.504427533499868,0.5129954227711192,0.7241306638566912,0.0,-4.9579548835754395,2.6455078125,-0.7944187132072968,0.7308039411108121,35.07923126220703,52.124019622802734,0.6146398497298446,0.379373603402894,0.16384224593639374,0.5973339676856995
cube9_cluster0,0.3876426069158625,0.46498335383784106,0.702845100105374,0.0,-6.844132900238037,-1.2603495121002197,-0.7752318928368307,0.6398209239696868,25.234121322631836,50.55004119873047,0.5849373444883408,0.3711002265052327,0.008986097760498524,0.3865712881088257
cube10_cluster0,0.15269839257462967,0.29868016587358837,0.6815595363540569,-0.010642781875658588,-5.346744060516357,5.422804355621338,-0.6895120430424978,0.24362515076081043,-19.52150535583496,36.62172317504883,0.45270670449910466,0.34191905433276054,0.04416005685925484,0.9566529393196106
cube10_cluster1,-0.003474824626172538,0.261261173703331,0.6815595363540569,0.010642781875658588,-0.4019087255001068,8.121671676635742,-0.645651014050587,0.0401954866183251,-42.47826385498047,26.305686950683594,0.41969272493357784,0.3891172531191267,0.43614664673805237,0.9489772915840149
cube11_cluster0,0.0013851626197350843,0.12780903906883817,0.6602739726027397,0.0,5.180318832397461,6.3308258056640625,-0.6426618966610278,0.039384725194500717,-40.17073440551758,22.629226684570312,0.38030019803392384,0.3630880644003901,0.7863059639930725,0.8662893176078796
