MSU,BA24_1,BA24_2,BM24_1,BM24_2,IA24_1,IA24_2,IM24_1,IM24_2,ZA24_1,ZA24_2,ZM24_1,ZM24_2,AG7PX1_count,AG7PX2_count,AG7PX3_count,AG7UI1_count,AG7UI2_count,AG7UI3_count,AG8PX1_count,AG8PX2_count,AG8PX3_count,KITPX1_count,KITPX2_count,KITPX3_count,KITUI1_count,KITUI2_count,KITUI3_count
LOC_Os01g01010,1510.7466425458106,1563.1126328023831,2344.2365491742853,1518.2136314619079,1576.954779325855,1214.2401104971013,1764.5136615742526,1949.8946603735985,1394.2639283574372,1116.6259360396998,2005.7276107396845,1878.2275858117162,1835.3553848529766,1733.969592061508,1827.19977528926,1803.6480941996147,1675.6497728046393,1701.5925871769873,1948.5381563497492,1747.7298653979115,1759.3264063024335,2026.5920867091934,1910.652037040657,1964.16426864911,1665.7880031014138,2178.3251946887526,1811.6931095299947
LOC_Os01g01030,76.53225139543113,67.3449887148419,88.74081574161333,94.88835196636924,121.04119511737916,104.42753026220622,73.45628174844099,160.24291548562906,76.63745797143098,124.56982888614931,141.07082213061042,178.08827249962434,122.02498488167687,94.23747782942978,84.70462534453523,19.010783601576968,25.31557210712045,6.9594788841594575,92.73018420205852,71.22410109772053,73.75870157006766,81.70743904875184,40.72644415129293,128.17962597710124,49.950407345439885,85.16359954800255,48.933190096630085
LOC_Os01g01040,1143.3918358477413,819.6594021214311,1342.2048380919016,1314.419330079592,1121.5116383757165,1116.2942890097906,1115.1288729258008,1330.997277605123,1008.3876048872496,993.5569484654319,1117.5331049229362,1214.1696205588796,1403.287326139284,1218.435154524039,1318.9720232220486,1394.91624676571,1239.2575298152296,1067.1200955711167,1487.295811552497,1388.3220937047986,1591.2532994460498,1302.3670587770748,1084.4870271144289,1254.1496737759512,1150.021006325244,1419.836886214355,1386.4403860711857
LOC_Os01g01050,862.518473226509,885.2321542911455,1419.1135450679665,1299.3234559031243,932.7694358198032,875.0306846109004,1060.8181114203046,1227.983974792933,883.0114126796016,672.7521180508004,1205.012776746946,1265.4831906011443,942.5807505656061,912.4405206308318,1000.7246451418663,830.5336085938937,867.9624722441297,840.9370318359345,1068.2035504834532,873.317054998204,975.7913470007312,1082.0045716455925,884.345644428075,953.8072168296062,889.8142331769059,1012.6484258754679,1050.898511122865
LOC_Os01g01060,3685.4105659469865,2981.7879871768814,2630.425679940988,2878.9988607977944,2849.596949458299,4169.179121985599,2652.2406410022204,2209.880615090078,3655.741196917909,4021.504295185989,2337.1258269738837,2425.320795821155,2220.1076331023455,2610.9324739800836,1252.418389022771,1185.7976271483633,1408.028010529366,1151.7937553283903,1423.4685419069242,2011.806917160229,1252.688767649018,1595.771044452138,2203.882434929966,1462.7557317386847,2648.53322668844,1631.4152038414238,2158.8857440251318
LOC_Os01g01070,565.9559990692132,510.4041249966965,593.8239586709625,451.7979485671445,701.6286225448081,680.5794213640337,561.4091695076061,765.2416780334122,555.2854410912454,514.0381493193511,732.93779095792,733.1049014126486,852.9297412647823,584.2723625424646,659.4860116110243,701.0226453081507,741.3846117085275,682.0289306476268,627.4341034970453,624.5805788569338,798.0449678072895,714.3210959262093,628.3508526199481,790.4410268587909,808.4996165680502,830.3450955930249,778.2707377273547
LOC_Os01g01080,6662.13248397228,5874.078028824829,6973.549103695113,6455.64276389378,5776.468786194925,5813.372581217439,5956.5386289888465,5023.942426832605,6102.761784777635,6099.419091485673,5266.906727926645,4990.621992272312,6021.559458038667,9170.969607118153,8407.539098483297,4424.759883267039,3785.2807817313433,4499.303098609089,7465.381972318971,8226.931554487473,8928.430367104584,6979.796081164589,6984.003365601719,7738.530752617543,3853.1511898796302,3230.894057852347,3588.4339404195393
LOC_Os01g01115,89.54273413265443,104.56195616251769,150.85938676074267,125.08010031930492,99.84188975783817,80.66126475425584,171.91895728358529,113.64165945154306,123.69554619950262,88.54963740099771,127.67303455396026,114.70092127094449,61.012492440838436,104.21556371725175,87.12475749723625,65.34956863042082,91.61826095910259,59.15557051535539,114.40737011942285,122.72460496837999,89.477769117787,117.60919257017311,98.90707865313998,69.11646498765262,45.30385782493385,195.61014271181836,109.51713974007686
LOC_Os01g01120,1433.8317298934023,1750.9697065858895,1552.5945220793099,2308.051333909243,2106.2535647543946,680.219326432095,1232.73706870389,3587.4791487292873,1310.9038863534245,685.1340588738212,2893.9221165564327,3057.685085459652,2767.9749121629357,1092.0460666116273,2274.9242235389465,2224.261681384505,2601.4764098650444,2954.29878632569,1628.1975200153652,1918.6677080324407,1333.7024234718792,3290.5814089633695,1542.9504269889835,2988.3446134661444,2323.274760253018,3427.8348818071026,2339.4725170007905
LOC_Os01g01130,683.8156662181772,635.3468014281796,696.985156970588,755.3328471868371,640.0822521461407,539.7823029760245,531.7765928703626,905.4542290833377,582.8480356248302,535.0499276856896,672.2536942872105,730.4637617781202,109.57345581211801,190.69230807837553,173.039448918122,109.31200570906756,92.82376439277499,170.5072326619067,181.8475040845563,98.61798613530534,124.54338133962244,170.84282710193565,194.3233192361691,154.56954897238677,130.103386574169,211.57831762706883,244.6659504831504
