MSU,TPM Norm,TPM IsoForest,TPM SD,TPM SDmean,TPM MeanCorr,TPM PC1,TPM PC2,DESeq Norm,DESeq IsoForest,DESeq SD,DESeq SDmean,DESeq MeanCorr,DESeq PC1,DESeq PC2,DESeq Mock,DESeq Attack,DESeq Old,DESeq New,LFC New,LFC Attack
LOC_Os01g01010,131.99105696893423,0.15488921952593954,3.580910260548286,0.14233988508954187,0.20051593468949017,-0.38794547,-0.109063976,9229.24427346738,0.13493787798454177,268.24590764376387,0.15271137212109562,0.3320734156338638,-0.079213455,-0.014271992,1807.6706018648047,1747.7298653979115,1570.033706064119,1811.6931095299947,0.03515155831174395,-0.00827992840427699
LOC_Os01g01030,8.835790368374372,0.1626708268890405,0.7445038944043834,0.4848600225240151,0.37590166398014574,-0.7427864,-0.19456264,494.8978875344599,0.15874628773320748,40.934129712977395,0.4740047986972026,0.3171506370347526,-0.9235372,-0.31594637,79.30994064822177,84.70462534453523,99.65794111428772,73.75870157006766,-0.00435407890832916,0.0009516274717464068
LOC_Os01g01040,105.60837577173461,0.1622245204866814,2.493892706997528,0.12360405138154228,0.17058974375976427,-0.4608309,-0.13198154,6476.548247799972,0.1445378937540001,171.92503396253542,0.13921716550637595,0.3748482671716462,-0.33892855,-0.120491974,1276.838429947411,1218.435154524039,1119.5223716493265,1318.9720232220486,0.03243572460666387,-0.009262937245269161
LOC_Os01g01050,112.10945163662441,0.15899135534611442,4.026635565415891,0.1898410900017082,0.35245311150687175,-0.44608504,-0.09053758,5224.688846539049,0.1501699144596037,169.31782692904918,0.17074029010064376,0.26598858823287064,-0.45946535,-0.10188645,1055.8583112715849,912.4405206308318,996.7937736200539,942.5807505656061,-0.011550019890396463,-0.030151937038773696
LOC_Os01g01060,635.6321446287076,0.00221240285145774,49.21301512638103,0.437872384692029,0.533941704477664,0.9886075,0.92088586,12866.055595513626,0.09898341918150089,873.9843464109076,0.3762638915642723,0.5147957558644563,0.31694818,0.62975377,2273.503221031981,2220.1076331023455,2864.2979051280468,1595.771044452138,-0.25392713366437164,-0.010316951569216172
LOC_Os01g01070,80.93775121856353,0.1623687372634734,2.147243265323758,0.13913052980365584,0.19081642437303795,-0.5346322,-0.15170029,3542.6599953970904,0.15465304632608906,107.23386606355666,0.15919149673944086,0.3684254596716103,-0.62856656,-0.22500917,733.0213461852843,628.3508526199481,579.8899788700878,714.3210959262093,0.03144048586541576,-0.02323625161151995
LOC_Os01g01080,690.7596075244772,-0.010269760047921683,34.07846723273401,0.2648686436148472,0.23869628537038015,1.2401086,0.4142352,32680.978584270782,-0.03768318622210576,1620.1326145496814,0.2662414741351904,0.22179094230168622,2.261036,0.9928429,4744.9625454407005,6979.796081164589,5915.308328906838,6979.796081164589,0.07185415263316342,0.16758064534570433
LOC_Os01g01115,10.241276189982948,0.16350218038494096,0.6122394228180681,0.32615664088612034,0.2964749844337149,-0.73799884,-0.19555767,569.2927534080725,0.1583938553981426,33.4943778395207,0.32047754969603864,0.20690825369286503,-0.9153985,-0.31727472,114.17129036124378,98.90707865313998,114.17129036124378,91.61826095910259,-0.003940273050672176,-0.0025706287886004724
LOC_Os01g01120,414.9998588755061,0.044076617031140075,26.780410096026603,0.35508693698502486,0.26853006248743894,0.334809,-0.011159145,11806.917060199821,0.11071603129581442,826.6450065414297,0.38946564193373334,0.3033870332445457,0.05453614,-0.045183074,2470.474463432917,1628.1975200153652,1651.7821143325996,2323.274760253018,0.14807186168806938,-0.18098238713616832
LOC_Os01g01130,54.62220015763215,0.15358592666877452,6.231372119245679,0.7287716468367914,0.5742413290145324,-0.6332074,-0.079293795,2396.128533016861,0.15062058981995163,265.8726135363669,0.6992400689454961,0.5623386148040734,-0.7540119,-0.11671218,388.2212716767565,190.69230807837553,656.1679732166756,170.5072326619067,-0.10972402543777766,-0.05785150720970672
LOC_Os01g01150,124.83138346831704,0.15228159276958925,5.7007334123547,0.24400266098943615,0.5577517476857685,-0.41632888,-0.19336069,15474.07654214115,0.08111220233512723,858.1057897759376,0.3004093423944121,0.5605219688065968,0.43631056,-0.14535058,2671.1632562022323,3226.247770395772,1952.1520442098458,3581.443484691449,0.13630738046134444,0.04241149307550735
LOC_Os01g01160,376.0591286568219,0.022716893587527764,44.341262395273674,0.7667336797854453,0.5879369106981952,0.063874535,-0.6452446,10015.157108489104,0.08839104682683979,1209.826026564314,0.7967885588688602,0.5809526571959706,-0.29952404,-0.659699,1158.2690866414628,1949.164375917198,262.1049947130175,2494.785607439201,0.9770781832289622,0.22588696380746598
LOC_Os01g01170,6.4412119526033855,0.15661556107818136,0.8395409401868287,0.9064006168625897,0.5322452251898415,-0.7528248,-0.21513677,370.27552548534135,0.15386813377724284,49.25928959307244,0.9408243522564556,0.5273925972838289,-0.94608676,-0.3583853,28.948514145400864,78.65429496278271,3.006625545107989,78.89438890824428,0.0208018594958871,0.006799323172875736
LOC_Os01g01280,274.70984337255436,0.10257011809104316,15.264522351712536,0.301066452645485,0.4195357521238584,-0.02209735,-0.15390685,7979.898266113846,0.13673466847307575,504.0421255627316,0.34668287594099745,0.4475612508974937,-0.2697239,-0.21989997,1623.216284545688,1240.5971772276955,1088.509140487719,1720.8171850648246,0.1987561599663365,-0.11666314390708425
LOC_Os01g01290,4.375390044305248,0.15578631169821755,0.5829343915080023,0.9433983772246364,0.41488069355165524,-0.7572445,-0.21123384,165.2397289334503,0.15608782698100876,22.425894729959502,0.9769138059013959,0.42467252004010037,-0.9589037,-0.3499898,9.983887741548036,28.82558145370793,5.314412838466737,32.581155321034345,0.007964592318310933,0.004760925078913076
LOC_Os01g01295,82.89953356159874,0.1588442888440229,4.2205157734692325,0.27393369860653277,0.35708588611610104,-0.52879065,-0.10852288,3365.4134883199445,0.15778656122490986,150.13893569378038,0.23805352462891816,0.2591182944665347,-0.63417244,-0.166814,557.3546338841395,680.7134236716104,714.2734929295891,615.4741191010543,-0.02210365365385458,0.02968222497901708
LOC_Os01g01302,744.2084020575122,-0.02831378722961464,40.11804203153786,0.29133088092879583,0.4138504334889996,1.2783713,-0.059797388,20248.025179016575,0.03387606570788998,1212.391510766739,0.32673100055987725,0.4570087321678139,0.8425758,-0.027936019,3759.7239731203667,3759.632601509356,2745.8194642973394,4411.422638627071,0.20584698794154876,-1.0551869485994886e-05
