MSU,BA24_1,BA24_2,BM24_1,BM24_2,IA24_1,IA24_2,IM24_1,IM24_2,ZA24_1,ZA24_2,ZM24_1,ZM24_2,AG7PX1_count,AG7PX2_count,AG7PX3_count,AG7UI1_count,AG7UI2_count,AG7UI3_count,AG8PX1_count,AG8PX2_count,AG8PX3_count,KITPX1_count,KITPX2_count,KITPX3_count,KITUI1_count,KITUI2_count,KITUI3_count
LOC_Os01g01010,23.77417757695542,23.160530404433366,37.31030216163366,21.29335404190712,24.784030235603158,19.549519905928335,27.500208864699605,28.10303180666771,22.20609574527005,17.60280533745913,30.531907176489156,27.14514760494019,24.51998314134993,24.162923215233693,25.019885364374936,26.27078073832655,23.964812281164217,22.719717016638615,26.21741581641998,25.023290176959883,24.863158814420174,25.516355741658998,27.044930043256198,24.939642048927524,23.555374069120862,26.7929822861965,25.679114342247864
LOC_Os01g01030,1.4810178024171148,1.2270589784352535,1.7368114560676904,1.6365377117232793,2.3393102225659788,2.0675139736209998,1.4078028281916357,2.8400290862370023,1.500963849017204,2.414843375967479,2.6407123873064746,3.165054836954781,2.0047059733410633,1.614855160885404,1.426291628801476,0.3405047038872468,0.445225931237293,0.11426835604137618,1.5342778492690154,1.2540042442780424,1.2818141773969298,1.2650737067571358,0.7088962499919226,2.0013974155910472,0.8685828192260765,1.2881139291414514,0.8529053981695156
LOC_Os01g01040,20.511461363968102,13.844564688772868,24.351952349409586,21.01516372330285,20.092969602437197,20.487920313570797,19.811788349438068,21.86788815493163,18.308061680618543,17.8547836487717,19.392331628885138,20.003731053797996,21.371462927235655,19.355218098293175,20.58839624298534,23.160981355906195,20.20412272056708,16.24232825075714,22.81213717197573,22.659378376805517,25.635208372914075,18.692757013412688,17.499122600252075,18.153042777085485,18.53803511914293,19.90785408283155,22.401869399626708
LOC_Os01g01050,20.170082413097372,19.491300234516405,33.56370393106818,27.080324861963437,21.784740968573573,20.935349084803583,24.568423841274086,26.30026515115687,20.89868383472125,15.759943337660017,27.258316810552056,27.17851828604144,18.713023627841135,18.894611342440097,20.36288368369911,17.976444018953686,18.446633972989954,16.685384275977963,21.357990423566324,18.58093007090334,20.492372807439924,20.24448831241499,18.601660107684076,17.996929545915446,18.69799444546413,18.50897790728338,22.135105079321065
LOC_Os01g01060,191.0093128767132,145.50897785238735,137.88218924374598,132.98647753090475,147.49962932002896,221.07359670968071,136.1377892743555,104.8976208957575,191.75975244655305,208.79375907581945,117.17065999726323,115.44310109652105,97.68521305624415,119.82803502778711,56.48114850053845,56.88353146721602,66.32188712506367,50.64969722480965,63.078831924729606,94.86613405863568,58.30527758192894,66.1725220641718,102.74187459013369,61.170075895854865,123.34754276507987,66.08724518413658,100.78127959935792
LOC_Os01g01070,14.248173211629846,12.0985983019086,15.119857675483471,10.13720191865761,17.64097733103359,17.529639650792063,13.99758529787081,17.644253716636705,14.148361803692872,12.963795764980564,17.848912029639415,16.95011970760982,18.229548359179258,13.025247793988457,14.446662411260569,16.33487718859305,16.96277887966371,14.568431082377607,13.505533422921344,14.306099268975915,18.04263236666248,14.388265263194851,14.228827792868495,16.056265362953592,18.28995965637932,16.33877984883539,17.647726478703557
LOC_Os01g01080,153.98220342307798,127.83251688438233,163.01388481051032,132.9823731664778,133.3394078089243,137.4684639612526,136.34786132852022,106.34818424440977,142.7568757807818,141.22320082785063,117.75544780499632,105.93563381571576,118.15507397864546,187.701028080407,169.08752939375933,94.65733672347089,79.51192717368804,88.23400326387168,147.52866136878143,173.0021057155109,185.3226062860466,129.07390250024784,145.19514715879154,144.31594680674738,80.02574504078295,58.36660875825719,74.70398420418987
LOC_Os01g01115,1.7548691336754016,1.9294451948969586,2.9901996823577233,2.1847408498467784,1.954186472506741,1.6173241387027226,3.336839018050222,2.0397648865510547,2.4534759123889494,1.7384471084072326,2.420369551388039,2.064483510583642,1.015124438617423,1.8085940520956154,1.4857351023569507,1.1853986197800985,1.631824100898762,0.9836565758037743,1.9170590471754239,2.188276855322159,1.5748005218535208,1.8441408740780825,1.7435409617557194,1.09293528428914,0.7978219500888849,2.996334065752587,1.9332054949056676
LOC_Os01g01120,56.690119447506945,65.18267528563523,62.08414487674669,81.33022488758128,83.16846087959412,27.51539863945516,48.26993826142127,129.90525840747466,52.45578468591153,27.13595143541565,110.67872306794989,111.02788535843264,92.90893184763614,38.233519360797104,78.26390947559409,81.3958707083305,93.47726395321934,99.10534314418423,55.040627587707036,69.01844837077205,47.35481495277651,104.09269823293873,54.872096596389696,95.33193514238333,82.54032421508938,105.92867913476996,83.31221419466341
LOC_Os01g01130,16.286638848734672,14.247794130171282,16.78917740865434,16.03349184702318,15.225341109581963,13.153118075152799,12.543500158224656,19.750908715902543,14.04950776893836,12.765770728932806,15.487942699595513,15.977956099985544,2.2155620176328235,4.021793124666635,3.586104666700854,2.4097255967405156,2.0092247153272713,3.445630428324574,3.703112171662279,2.1370013156927588,2.6638458566836576,3.2555742943120696,4.163012703249269,2.970399784225627,2.784437230864274,3.93865605256713,5.248648604120096
